attributes.WiFi,attributes.GoodForKids,attributes.RestaurantsPriceRange2,attributes.RestaurantsTakeOut,stars,attributes.RestaurantsDelivery,categories,business_id,postal_code
no,True,1,True,2.5,False,"Vietnamese, Noodles, Restaurants",1AA4EjIIXywxOSnbyZ9vLA,V5Y 4A8
free,True,2,True,3.0,True,"Japanese, Restaurants, Sushi Bars",nnAhW9nOUTBWXXIwSwWeDQ,V6C 1W6
free,False,3,False,3.5,False,"Nightlife, Tapas/Small Plates, Restaurants, Wine Bars, Bars, Breakfast & Brunch, Canadian (New), Gastropubs, Gluten-Free",Ndc6bp-VphvRcd7T-C6BYA,V6B 1G8
free,True,1,True,5.0,False,"Restaurants, American (Traditional)",D4hzlt965YCvbB3h2jeWbg,V5P 2S7
free,True,2,True,4.0,False,"Restaurants, Breakfast & Brunch, Coffee & Tea, Canadian (New), Diners, Food, Local Flavor, Sandwiches",mIY5zinbFyKxgj7cydhVIQ,V5J 1B8
free,True,1,True,1.5,True,"Restaurants, Fast Food, Burgers, Food, Coffee & Tea",8bH2pyhAHeQ8PTIHER_Hhw,V7P 1T3
no,True,2,True,3.5,True,"Fast Food, Restaurants, Caterers, Ice Cream & Frozen Yogurt, Vegetarian, Food, Juice Bars & Smoothies, Salad, Event Planning & Services",5-5G1qfR0NIRPVpvpZ2lcQ,V3H 5N1
no,True,1,True,3.5,False,"Desserts, Bubble Tea, Cafes, Restaurants, Coffee & Tea, Food",GTj0GfyqMCZdwKtlFa7JfQ,V5H 4V2
free,True,2,True,2.5,True,"Restaurants, Noodles, Chinese",L_9c87O9g8HK4rBDuyN6Og,V5H 4M9
no,True,1,True,2.5,False,"Restaurants, Seafood, Food Stands, Barbeque, Burgers, American (Traditional), Food, Coffee & Tea, Fast Food",HYjTAEYSBiPg0S4sjyLiNQ,V7E
no,True,2,True,4.5,False,"Cafes, Waffles, Belgian, Specialty Food, Food, Desserts, Bakeries, Restaurants, Coffee & Tea, Breakfast & Brunch",icnhQBqyrQ2joCRtV_OORw,V6G 1C9
free,True,2,True,3.0,False,"American (Traditional), Breakfast & Brunch, Restaurants, Burgers",lJEVrsNA811P1VXA39bEfA,V4K 0A7
free,True,2,True,4.0,True,"Vegetarian, Gluten-Free, Restaurants, Comfort Food, Vegan, Burgers, Waffles",kOOX1tsU0nbg0MbLXTLL6A,V5V 3P9
free,False,2,True,3.5,True,"Restaurants, Chinese",VeR64TufAVRS2JVZ4kPhBg,V7L 1C2
no,True,1,True,3.5,True,"Food, Specialty Food, Mediterranean, Restaurants, Local Flavor, Falafel, Halal, Lebanese, Middle Eastern, Ethnic Food",qeFnyrrsUwW8Ww_ojxcssQ,V5N 4B1
no,False,2,True,4.0,True,"Greek, Restaurants",DhWNZXfKSlUxMcQQ6EUkMA,V6B
free,True,2,True,3.0,False,"American (Traditional), Canadian (New), Burgers, Restaurants, Breakfast & Brunch",ueolBZ5MSq1cNlRz1sx2cw,V6Z 2W6
free,True,2,True,3.5,True,"Chinese, Restaurants, Food, Food Delivery Services",vvSHgDvxh2GxfmKEOQ_ylA,V3J 1N7
free,False,2,True,4.0,True,"Greek, Restaurants, Indian, Pizza, Afghan",wpLWgpB5XsKHE7fBnkLUAg,V3E 1K9
no,True,2,True,3.5,False,"Restaurants, Japanese, Sushi Bars",IXo1IVxa_ACLn6UhK2bjsQ,V6G 2M7
free,True,1,True,5.0,False,"Cafes, Breakfast & Brunch, Restaurants",lNpkzdNqzm57yZdXVANOnw,V3R 0Y3
no,True,1,True,4.0,True,"Middle Eastern, Greek, Restaurants, Donairs, Food, Mediterranean, Falafel, Specialty Food",Mv7Fh93umz9Ts_xkxvaCIA,V6B 2G6
free,False,2,True,2.5,False,"American (Traditional), Nightlife, Lounges, Dance Clubs, Tapas Bars, Restaurants, Bars",aWF4IP5OmqCRGGFNYMRjCg,V5G 1C7
free,True,2,True,4.0,True,"Afghan, Restaurants, Halal, Persian/Iranian",sF3RtsChnRhqtrs65DC2Fw,V7M 2H9
no,True,2,False,3.5,False,"Chinese, Restaurants",CCV_rtjUHKhJA0JLruwImw,V6X 2C2
free,True,2,True,3.5,False,"Restaurants, Modern European, Gluten-Free, Breakfast & Brunch, Food, Canadian (New)",BJ-mZ93qfDZJE45gPksFAA,V6C 3T4
no,True,1,True,2.0,True,"Fast Food, Burgers, Restaurants",CnM1N32woRMgzLe3UZojNQ,V3L 3C2
no,True,1,True,3.5,True,"Barbeque, Halal, Restaurants, Butcher, Afghan, Mediterranean, Middle Eastern, Food",9ycjSy-8bsCITFj35gK2FQ,V5L 3Y4
free,True,2,True,4.0,True,"Greek, Restaurants, Mediterranean",QzMgMLNP7tSFC5IwypS24w,V3L 1A6
free,True,2,True,2.0,True,"Pizza, Desserts, Restaurants, Burgers, Food",dtFnvkZpc7gqo8dTQ1XZMQ,V6X 3K2
free,False,2,True,4.0,True,"Food, Restaurants, Nightlife, Desserts, Mexican, Tex-Mex, Cocktail Bars, Dive Bars, Bars",8JZ0c6hYsmzr4d-89hEuwQ,V6Z 1M1
no,False,2,True,4.0,False,"Food, Restaurants, Halal, Pizza, Sandwiches, Persian/Iranian, Burgers",AwwekG8mmJOL7T0h5G5qQQ,V7P 1M6
free,True,1,True,4.0,True,"Vegetarian, Vegan, Restaurants, Lebanese, Middle Eastern, Sandwiches, Food, Donairs, Greek, Mediterranean",6kF5oGwMnDGGp2DKLr9lYA,V3J 1M2
no,True,1,True,2.0,False,"Food, Pizza, Restaurants",o88HljnvIhsMdckS9Ivctw,V6B 4N5
free,True,2,True,3.5,True,"Japanese, Restaurants",SA0D3dbsa8B2bkkfpM8aMg,V3J 1S6
free,False,2,True,4.0,False,"Nightlife, Pubs, American (New), Bars, Canadian (New), Restaurants, Cocktail Bars",7mC73EaD-pi3yyR63ZVn3A,V5T 3E6
free,True,1,True,3.5,True,"Restaurants, Vietnamese",QqO7uD2qsT650a9YnPcBWA,V5K 5C5
no,True,2,True,3.5,True,"Restaurants, Sushi Bars, Japanese",kv3yUdHM7TaLu3lNwUfBKg,V3K 6G3
no,True,2,True,4.0,True,"Restaurants, Japanese",pQUn6_DGDCm_eKhDE2C4KA,V3C 6L6
no,True,2,True,3.5,True,"Barbeque, Restaurants, Japanese, Asian Fusion",lOA7o1IGnhx2YrbhYQHsLQ,V6X 2A4
free,True,1,True,3.5,False,"Restaurants, Chinese, Taiwanese, Food, Waffles, Cafes",Z1f1N7Z5k9DgGNolklJYzQ,V6X 0A4
free,True,1,True,3.0,False,"Chicken Wings, Soul Food, Southern, Restaurants, Fast Food",eIjgojlxRxC77-PZQkIo6w,V5V 3M9
no,True,1,True,3.5,False,"Vietnamese, Restaurants",1w8zwjr9uTQFeE6rAmHXSw,V5N 2T6
no,True,2,True,2.5,False,"Grocery, Delis, Food, Pharmacy, Sandwiches, Coffee & Tea, Health & Medical, Restaurants",vTN3MTa0l9_L54yzTzbIDg,V3L 2B8
free,True,1,True,2.5,True,"Restaurants, Burgers, Food, Fast Food, Coffee & Tea",Kjb9g_H7_iuXFyqewmjngQ,V5P 2W9
free,True,2,True,3.5,False,"Restaurants, Sushi Bars",VdnIZKp6nlL35WnINnFDOw,V7T 1B6
no,True,1,True,3.0,True,"Restaurants, Pizza",bgzFQZFIItkDGTVj9pFwRA,V5L 3W9
no,True,2,True,3.5,False,"Sushi Bars, Restaurants",nzDlYG71EuP0e5NMbVHjNg,V3N 2S9
no,True,1,True,3.0,False,"Restaurants, Sushi Bars, Food, Japanese",zfJyH6UGi30RXIA_KH0VFw,V5W 3A6
free,True,2,True,4.5,True,"Poke, Hawaiian, Food, Restaurants, Japanese",jENYBO-hThuNhIBZBw3n4A,V6A 2V4
free,True,2,True,4.0,False,"Restaurants, German, Breakfast & Brunch, International",UCIwZCb5bOhbm037tn3QyA,V5J 3H6
no,True,2,True,3.5,True,"Sushi Bars, Japanese, Restaurants",p1FElOKJUkFOpXx4dvTwEg,V6X 3K8
free,True,2,True,4.0,True,"Food, Southern, Restaurants, Barbeque, Food Delivery Services",0DnXF161WDK4QIdk-a8LXA,V3M 6B9
free,True,2,True,3.0,True,"Vegan, Restaurants, Asian Fusion, Noodles, Gluten-Free, Thai",VzIh81mLHwZeeAtMFxqK_w,V6J 1M3
free,True,1,True,4.0,True,"Restaurants, Taiwanese, Noodles",-SkNedh2bJHPOcKfoFlTvg,V6B 1Y4
free,False,3,False,4.0,False,"American (New), French, Restaurants, Breakfast & Brunch, Canadian (New)",7Tne8P5zyMpJKfpjQg2P-g,V6B 2J1
no,True,2,True,4.0,True,"Sandwiches, Restaurants",Jx52Bg5W7YyPZ2D9N-f2iQ,V5G 1G4
no,False,1,True,3.5,False,"Mediterranean, Restaurants",aaT7N0L7gTS4m7GdNLTNmw,V5L 3W8
free,True,2,True,3.5,False,"Steakhouses, Asian Fusion, Japanese, Restaurants",1bP4v7kwOJ22YJmx3bqEqg,V6X 2E3
free,False,1,True,3.5,False,"Breakfast & Brunch, Fast Food, Burgers, Restaurants",peubyu7J_isWbjNCcaRmFw,V7J 1E2
free,False,2,True,3.0,True,"Irish, Restaurants",rGjgks0My54TLG5_L5usSA,V6G 1T2
no,True,2,True,4.0,False,"Italian, Restaurants",QHwx44M5TtXiwqU_0-VfXg,V6K 3E4
free,False,2,True,3.5,True,"Bars, Restaurants, Breakfast & Brunch, American (New), Nightlife, Pubs, Food, Beer, Wine & Spirits, Canadian (New)",7QE63yF5YFqEV7wzClbtZA,V7J 2A1
free,True,1,True,3.0,True,"Food, Coffee & Tea, Restaurants, Taiwanese",urQCFQK_A2YvKyXgudQaWA,V5H 2E8
no,True,2,True,3.5,True,"Food, Restaurants, Specialty Food, Greek, Pizza",5BNRsSDddMgeba1UQ2aX5g,V6K 2H5
free,True,1,True,1.0,False,"Nightlife, Chinese, Restaurants, Cafes",Z-3ZKH9h-Njv1OrpFpY1UA,V6X 1C3
no,True,2,True,3.5,True,"Chinese, Restaurants",Wrmfc2QbnM9KLid88ry96w,V6X 1A5
no,True,1,True,4.5,False,"Event Planning & Services, Food, Ethnic Food, Specialty Food, Restaurants, Caribbean, Caterers",AXLvoD64xJkpemCa2-Ld2g,V6L 2N8
free,True,1,True,2.5,False,"Japanese, Asian Fusion, Restaurants",E2fA6PrBWUOGAfiYRu_poQ,V6X 2X9
free,True,2,True,3.0,True,"American (New), Indian, Canadian (New), Restaurants, Nightlife, Comfort Food, Bars, Burgers",dQ4eHpQvvlJmZxfXwsvksw,V6R 2H6
no,True,2,True,3.5,False,"Restaurants, Salad, Vegetarian, Food, Juice Bars & Smoothies",6YEjQPGmXJ_KUR9WAdh41g,V6H 3R9
no,True,2,True,3.5,False,"Restaurants, Noodles, Vietnamese",eHvdupgV0L5sLb4bux6HNw,V5Y 2A1
free,True,2,True,3.5,False,"Breakfast & Brunch, Restaurants, Canadian (New)",rXABnJdgOUY_SIqrAZwBqg,V6E 1C5
free,False,2,True,3.5,True,"Bars, Burgers, Sports Bars, Restaurants, Breakfast & Brunch, Lounges, Food, Beer, Wine & Spirits, Pubs, American (Traditional), Chicken Wings, Nightlife",Bv6MSGyxWa1S-xkKGcUBBQ,V5P 1J8
free,True,1,True,4.0,False,"Breakfast & Brunch, Food, Bistros, Restaurants, Sandwiches, Coffee & Tea, Cafes",gqrOBvj-ffGnNn3ygqVteA,V3L 3C6
no,True,2,True,3.5,False,"Cambodian, Restaurants, Vietnamese",5xdjbknYhthoQuFWbulMWQ,V6H 1H6
no,True,2,True,3.0,True,"Seafood, Chinese, Dim Sum, Restaurants",y8u8Viz24mJ0_k1xxKpq2g,V6X 3X9
no,True,2,True,3.5,False,"Seafood, Dim Sum, Restaurants, Chinese",J0E6KynrxYwvNFn3oyqhsQ,V5W 2Z8
free,True,2,True,1.5,False,"Indian, Buffets, Halal, Pakistani, Restaurants",sIECc5okB39ppEAuwG9cig,V3W 2M6
free,True,1,True,3.5,False,"Chinese, Restaurants, Fast Food, Noodles",PdXi635umgAGCug-UPfICA,V6X 0A4
free,True,3,True,3.5,False,"Shopping Centers, Fashion, Shopping, Restaurants, American (Traditional), Women's Clothing, Department Stores, Men's Clothing",NvStvbwW3bI3rVrBkCC_4w,V7Y 0A2
free,True,1,True,3.0,True,"Restaurants, Pizza",9YmzXAhVXGRRBBLgktpQJg,V6Z 2S7
free,True,1,True,4.0,False,"Cafes, Italian, Restaurants, Desserts, Food, Coffee & Tea, Ice Cream & Frozen Yogurt",DmeNxtgASzdsMmWOLeB4Qw,V6E 1C1
free,True,1,True,3.0,True,"Restaurants, Burgers, Fast Food, Food, Coffee & Tea",nlbV9gEReMP9pSjBYhtAOg,V3M 5G7
free,False,2,True,3.5,False,"Nightlife, Burgers, Bars, Restaurants, Gastropubs, Pubs",aMdGW4niRhLTWhxyC5y1WA,V7N 3J3
free,True,1,True,4.5,False,"Cafes, Restaurants, Bakeries, Caterers, Event Planning & Services, Food",lJ42JJV2oWdhjwkiTAHrWA,V7R 2N5
free,True,2,True,4.0,True,"Pizza, Restaurants",8tshgemLZLKcGGvNky5L_Q,V7E 3L9
free,True,2,True,4.0,False,"Diners, Restaurants, Food, Breakfast & Brunch, Canadian (New), Bars, Tapas/Small Plates, Sandwiches, Wine Bars, Bistros, Nightlife",ancWqJc7BtHTixOZ4qKxdA,V5Z
no,True,2,True,3.0,True,"Sushi Bars, Restaurants, Japanese",YUWUwIv6WrwHda81WqNVwg,V6R 2H9
no,True,2,True,3.5,False,"Tea Rooms, Restaurants, Breakfast & Brunch, Food",nhZTm70-7CCRw4yIQXaHLQ,V6M 3W7
free,True,2,True,3.5,True,"Seafood, Restaurants, Japanese, Sushi Bars",ORbYIXH2q5SUVxSrbrZoHQ,V6X 0M5
free,True,2,True,3.5,False,"Dim Sum, Restaurants, Chinese, Seafood",qO03dJ4hU0sb5I1eBSEVkA,V5Z 4J7
free,True,2,True,3.5,True,"Sandwiches, Health Markets, Shopping, Specialty Food, Restaurants, Food, Grocery, Organic Stores, Delis",PCmA0UcEkqX8in0PdGSVEA,V6G 1C8
free,True,3,True,3.5,False,"Seafood, Pizza, Restaurants, Nightlife, Bars",-E1kVYGDwyijG06SaCmvuQ,V6H
free,True,1,True,2.5,True,"Restaurants, Burgers, Fast Food",NKwwY7LWDUYv8bysXwe0zw,V6Z 1A1
free,False,2,True,3.5,True,"Restaurants, Burgers, Nightlife, Pizza, Gastropubs, Pubs, Irish, Bars",_C85g_oWzlt55fsi_SknGw,V6C 0C3
no,True,2,True,3.5,True,"Pakistani, Specialty Food, Indian, Middle Eastern, Food, Restaurants",LpkjUSkqfYa_8AOyYF7gRQ,V6J 1M9
free,True,2,True,3.0,True,"Thai, Restaurants",cShZ_TW71fbuE22gDq1N1w,V7M 1A3
no,True,1,True,4.0,False,"Food Court, Restaurants, Korean",wa1KMJZlPbH_j9NPTx_xCg,V6X 3X2
free,True,2,True,2.0,False,"Chinese, Japanese, Restaurants, Sushi Bars",mb8yh5_vE1cfysDG-3UWNA,V7B 0A4
free,True,1,True,3.5,True,"Restaurants, Pizza",MVaobM7jW9teT4YjtXY51Q,V6B 6N7
no,True,1,False,3.0,False,"Food Stands, Fast Food, Restaurants, Chinese",cKAPN5XObsHigEAXeXe27g,V6X
no,True,1,True,3.5,False,"Vietnamese, Breakfast & Brunch, Restaurants",bUj9Dsti3D5h_hrjEOcikw,V5H 2A1
no,True,2,True,1.5,False,"Sandwiches, Restaurants",gHYHvX4Zo-Dqy1Hr7M5p-w,V7B 1Y7
no,True,2,True,4.5,True,"Seafood, Seafood Markets, Food, Fish & Chips, Restaurants, Specialty Food",GXLBC072h5vwBBVRT6E15A,V5V 3P2
no,True,1,True,3.0,True,"Restaurants, Chinese",JgoBGiZ5zdcqX0QoaDoBfg,V3J 3R3
no,True,1,True,4.0,False,"Canadian (New), Food, Cafes, American (Traditional), Restaurants, French",eB72umytir4pryQt15VSqw,V3L 3C5
no,True,1,True,4.0,False,"Restaurants, Taiwanese, Chinese, Hot Pot",bbGwZNX2rinjd3qw5UMtbw,V5C 2K4
free,False,3,True,3.0,True,"Asian Fusion, Restaurants, Vegetarian, Japanese",Oi1o-3Ern8O7m05QlDfimQ,V5V 3P9
free,True,1,True,3.0,True,"Middle Eastern, Fast Food, Halal, Indian, Restaurants, Pakistani",q__bTGldUahkQoy4j-hM9A,V3W 2M6
free,True,2,True,3.0,True,"Restaurants, Chinese, Bubble Tea, Food, Taiwanese",FioNaXU-YjmZL5utg48r3g,V3B 6J6
free,True,2,True,2.5,True,"Sushi Bars, Restaurants, Japanese",MgEgZChIYs4H-v6xRP9VtA,V7V 1J5
no,True,2,True,3.0,False,"Seafood, Restaurants, Chinese",lZSV7ipIPsZmgsRSy6taPA,V5W 2Z4
no,True,2,True,3.5,True,"Restaurants, Persian/Iranian",67zb4FcsSKuRMJG3x8qEqQ,V6E 1N1
no,False,4,True,4.5,True,"Food, Beer, Wine & Spirits, Restaurants, French",GSg5v3ZJxmMPrlAXqat8tA,V6Z 2N2
free,True,2,True,4.0,True,"Coffee & Tea, Food, Breakfast & Brunch, Restaurants, Cafes",BMtilzWQheOVprAwNoHSTQ,V6H 3R7
free,True,1,True,4.0,False,"Pizza, Restaurants",odZasQZStb8VSe6rQsWlRw,V6B 1V5
free,False,2,True,1.5,False,"Coffee & Tea, Restaurants, Food, Taiwanese",NnZWPYzGkST7C5u5e-3skA,V6X 1C3
free,True,2,True,4.5,True,"Japanese, Sushi Bars, Restaurants",hVwbosAho2bofcnrBNEvWw,V7L 3V9
free,True,1,True,3.5,False,"Cafes, Restaurants, Sandwiches, Bagels, Food, Juice Bars & Smoothies, Coffee & Tea",Dr2wktcqcbJtTLur6l9qRA,V6T 1Z1
no,True,2,True,3.5,False,"Sushi Bars, Japanese, Restaurants",S3NsRmPe6dVj5OEfZqQ6Fw,V5J
free,True,2,True,3.5,False,"Restaurants, Sandwiches, Salad, Soup, Delis",F2fDbqmEnD36w7eDKIIIoQ,V6C 2G8
free,True,2,True,4.0,False,"Restaurants, Fish & Chips",g_YjYtD3l2JlU8BzlhUB5g,V3K 3P4
no,True,1,True,4.5,True,"Fast Food, Restaurants, Burgers",IU3CTQnvV8ABIKGG9LLcYw,V3W 2M1
no,True,2,True,4.0,True,"Specialty Food, Cocktail Bars, Nightlife, Food, Bars, Vietnamese, Restaurants, Ethnic Food, Gluten-Free",l184Y1d3oAa5_Al4YIaRjQ,V5V 3M7
free,True,2,True,3.0,False,"Fast Food, Chicken Wings, Chicken Shop, Breakfast & Brunch, Restaurants",Zmrs8DCnSdRPjkOZ4DKiPA,V6Y 3X9
no,True,1,True,4.0,False,"Bagels, Restaurants, Bakeries, Sandwiches, Food",JvnNRQgMv5EIBZOvtRtQPQ,V6H 3R9
no,True,2,True,3.5,False,"Chinese, Barbeque, Restaurants",pWBJrO3f3zbaz9H0jmOw_Q,V6X 1J5
no,True,2,True,4.0,False,"Sushi Bars, Japanese, Food, Restaurants",nV6nLxww8P3xAshYZmalZA,V5L 3X8
free,True,2,True,3.5,True,"Japanese, Restaurants",wLgCnQHiGmYKMRk_ZhxJ0A,V6A 1G9
free,False,3,False,4.5,False,"Restaurants, Steakhouses, Bars, Food, Nightlife, Cocktail Bars, Seafood, Food Delivery Services",rVuC98hyTNLaxtr5Y8rH9A,V6B 5P6
free,True,1,True,3.5,True,"Vietnamese, Food, Restaurants, Soup",ZcVWoiXWQ3vUCPI4RdsfRw,V5L 1V2
no,True,1,True,3.5,False,"Greek, Canadian (New), Fast Food, Restaurants",jtwv-t7dH_2d83-LgvaLtQ,V5H
no,True,2,True,3.5,True,"Event Planning & Services, Indian, Food, Food Trucks, Food Stands, Street Vendors, Restaurants, Caterers",uTLMc2oGsWzITyKULF1lRA,V6E 0B6
free,False,2,True,3.5,False,"Canadian (New), Gastropubs, Bars, Restaurants, Pubs, Nightlife",HXWf_XzwsWenZH6M4hhzMQ,V7E 2K5
free,True,1,True,4.0,False,"Restaurants, Donairs, Turkish, Afghan, Food",6uNsbJ-4uIKHXKxfR0hacw,V5C 5G4
no,True,1,True,4.0,False,"Coffee & Tea, Restaurants, Breakfast & Brunch, Food, Bagels, Sandwiches",kd5Lnqdd-AqPnJoMMlz6mw,V5L 3X9
no,True,2,True,4.0,True,"Food, Restaurants, Coffee & Tea, Breakfast & Brunch, Desserts, Tea Rooms",U5qYTzxrA2uhKLtD-3PX5g,V6K 2H1
no,True,2,True,3.5,True,"Restaurants, Vietnamese, Asian Fusion, Soup",bNHC09MRHjC5PyRx5b5_og,V5C 5Y1
free,True,2,True,4.0,True,"Food, Sandwiches, Bubble Tea, Juice Bars & Smoothies, Cafes, Asian Fusion, Korean, Restaurants, Coffee & Tea, Waffles",goB7wK1XgJFLXJo4Kmx-pw,V5E 0A6
free,True,1,True,4.5,True,"Sandwiches, Food, Restaurants, Coffee & Tea, Desserts, Juice Bars & Smoothies, Breakfast & Brunch",BzQCxJG9qOIoXwDMDLJyCw,V5H 2G1
paid,True,2,True,3.5,True,"Restaurants, Japanese, Sushi Bars",rjfqFfAj5Yam5WsttKV61w,V5K 5C5
free,True,1,True,3.0,True,"Taiwanese, Juice Bars & Smoothies, Restaurants, Food, Tea Rooms, Coffee & Tea, Bubble Tea",ECp0NDRjSQwsO1i1BEztpQ,V6J 1W6
free,False,2,True,3.0,False,"American (New), Restaurants, Bars, Lounges, Nightlife, Steakhouses, Canadian (New), American (Traditional)",WRBvHrDHTJXMvehfgnpcQQ,V6E 1N1
no,True,1,True,2.5,True,"Mediterranean, Food, Restaurants",_hgnabctXKOVhiU6XkbxQg,V6B 2B2
no,True,2,True,3.0,True,"Chinese, Restaurants",vPxMZ_kXm8aPYAzw5f7_Ow,V5L 1T8
free,True,1,True,3.0,False,"Restaurants, Coffee & Tea, Food, Cafes",g_cUJ05VX557tB8ItfIJDA,V6Y 2B6
free,False,2,True,2.5,False,"Restaurants, Bars, Cambodian, Nightlife, Pubs",2900kMWafWnq6BfNqIEPlQ,V5K
no,True,1,True,3.5,True,"Pizza, Restaurants",XgOcemy8NPoxwi4LBOrqfw,V6K 2G3
free,True,2,True,4.0,True,"Restaurants, Pizza, Indian",OrM_WT3ZVxUdxdvs4CkeCg,V3J 7C7
free,True,1,True,3.0,False,"Vietnamese, Restaurants, Thai",24WyyBX62ieu8RQuDfa0og,V5M 4P1
no,True,1,True,4.5,True,"Mexican, Restaurants",z7v955u6pjehSvjIrhXtcQ,V7P 1A9
free,True,1,True,2.5,True,"Burgers, Fast Food, Restaurants",h_gHK_HRPSP491vTzCETFg,V6Z
no,True,2,True,4.0,False,"Vietnamese, Soup, Restaurants",24gPFeyphGmg_pxiMT3eGA,V5C 3Z2
free,True,2,True,4.0,False,"Restaurants, Japanese, Sushi Bars",KfSeskh1ZH685ordhPUNFA,V5R 4G6
no,True,2,True,2.5,False,"Food, Restaurants, Chinese, Bakeries",w1vhw-TvLqs5imPb2OT7mQ,V5H 4J2
no,True,2,True,4.0,False,"Restaurants, Local Flavor, Breakfast & Brunch, Burgers, Comfort Food, Diners",zrb_IVQQ3dEGBghYuZe7vg,V6H 3G1
free,True,2,True,3.0,True,"Dim Sum, Chinese, Restaurants, Seafood",opVJrZaJZKJk5zHyCMtetg,V6X 2E3
free,False,2,True,3.5,True,"Indian, Asian Fusion, Pakistani, Canadian (New), American (New), Restaurants",yQOZ4nlz9KC9Wjja4FYuzQ,V6C 2E8
free,True,2,True,4.0,False,"Restaurants, Food, Afghan, Bakeries",tHWWodfnvFJIkXcthrVlqw,V3W
free,True,1,True,2.0,True,"Restaurants, Vietnamese, Noodles",i1mK2OCgygRRNQIv9rXc8Q,V6X 1C4
free,True,1,True,4.0,False,"Beer Bar, Nightlife, Bars, Wine Bars, Convenience Stores, Breakfast & Brunch, Sandwiches, Coffee & Tea, Food, Beer, Wine & Spirits, Cafes, Restaurants, Grocery",agDBVpW9zPUK80oGUzo5og,V0N 2E0
no,True,2,True,2.5,True,"Pizza, Restaurants",8EiXbLhb_fVTkyAAaT2_TA,V5P 3Y8
no,True,1,True,2.5,False,"Japanese, Restaurants",uDc9ifnHf91YOS0AwZan8g,V7Y 1K8
no,True,2,True,3.0,False,"Party & Event Planning, Restaurants, Bars, Active Life, Event Planning & Services, Barbeque, Nightlife, Bowling, Lounges, Venues & Event Spaces",DFvnDlWnTEBT15Mfs-xG2A,V5B 2Z8
free,True,3,True,4.0,False,"Restaurants, Seafood, Bars, Nightlife, Steakhouses",ibOe28HDqNq9ee6SnilubA,V3B 6J6
no,True,2,True,3.0,False,"Restaurants, Chinese",m1cwenoMw0Id58dDCB-p7A,V5V 3C6
no,False,1,True,3.5,True,"Imported Food, Ethnic Food, Japanese, Event Planning & Services, Food, Caterers, Restaurants, Sushi Bars, Specialty Food",b102gNXJjaOSsDc3G1ePTQ,V6E 3S7
no,True,1,True,4.0,True,"Restaurants, Chinese",IvV9sKvWF6-CSZq8aV9IRA,V7W 2B9
no,True,1,True,4.5,False,"Sandwiches, Vietnamese, Restaurants, Nightlife, Bars",kpjMhnaAYzWA108_dwI-0g,V3M 6V4
no,True,1,True,4.0,False,"Noodles, Chinese, Asian Fusion, Restaurants, Fast Food, Food Stands, Food Court",tv3tfOKy1tfW5_IEYK_ixw,V6X 1A6
free,True,2,True,3.5,False,"Restaurants, Japanese, Sushi Bars",n3hQVwWnNEo0Pno3OFif_A,V3H 5B9
free,True,2,True,4.0,True,"Restaurants, Food Delivery Services, Barbeque, Mediterranean, Food, Pizza, Specialty Food, Salad",Ln24HNdebr87jBxYULcjAA,V6M 2A5
free,True,1,True,4.0,True,"Restaurants, Sandwiches, Vegan, Mediterranean, Greek",WY2g6AtINPn4ltg20699Kg,V5C 6R4
no,True,1,True,2.5,False,"Restaurants, Fast Food, Burgers",7ez-XcYW4Qrwy3bJoSK8cQ,V5H 4P1
free,True,2,True,3.5,False,"German, Restaurants",M3_pdJTCaZff28f9n4zk8Q,V5N 4P3
no,True,2,True,3.0,True,"Tex-Mex, Fast Food, Salad, Restaurants, Mexican",Od_5E2nLUXFtr6Y_eUtkaQ,V6Z 1N4
no,False,2,True,3.5,False,"Mexican, Restaurants",uVhrX3j11osgAAgRnQ0rLg,V6B 5T4
free,True,1,True,3.0,False,"Burgers, Restaurants",KEV824mBUpfq7QL8_6B4mQ,V5S 1J9
no,True,2,True,4.0,False,"Ramen, Restaurants, Japanese",gy-wustCrtZh0arceJufqw,V7A 4E8
free,True,1,True,4.0,True,"Coffee & Tea, Chinese, Bubble Tea, Taiwanese, Food, Restaurants",7Ouec2qlKyXnFrZc1tWIRQ,V6E 1C6
no,True,2,True,3.0,True,"Restaurants, Seafood, Fish & Chips, Arts & Crafts, Seafood Markets, Shopping, Food Trucks, Food, Specialty Food",kIdwy77j0rV5KCZ0y9SEQQ,V6J 4A3
free,True,2,True,3.5,False,"Noodles, Bars, Nightlife, Chinese, Restaurants",cCrAqP4LuWn9887zI-tjaA,V6K 4W7
free,True,3,False,3.0,False,"Japanese, Sushi Bars, Restaurants, Seafood",yjrJxldzYf6v1mtr8sFwkg,V6E 1A3
no,True,1,True,4.5,True,"Macarons, Desserts, Gluten-Free, Specialty Food, Restaurants, Food, Bakeries",QKJk53cz78UTl1uwxukcOw,V6K 2G6
free,True,2,True,3.0,True,"Chinese, Dim Sum, Restaurants, Venues & Event Spaces, Event Planning & Services, Party & Event Planning, Seafood",Byj8zjp8Guix1NtxLpLRXA,V6A 1S2
no,True,1,True,3.0,False,"Noodles, Asian Fusion, Food Stands, Chinese, Restaurants",jc_--PmcN8RbEV_LYDma1w,V6X 3X2
no,True,2,True,2.0,True,"Restaurants, Japanese, Sushi Bars",6EqSSodN0-wFw4w74uuotg,V6J 5B8
free,True,1,True,3.5,False,"Chinese, Cafes, Restaurants",qS15jCGq_m43eQryNCZmUg,V6X 2C1
